Date,Close,High,Low,Open,Volume
2011-08-15,92.64196014404295,92.73412216204026,91.39772016340387,91.54365117155524,258810600
2011-08-16,91.85083770751952,92.69569501319104,90.86773741699992,91.7586757176208,294095200
2011-08-17,91.91230010986328,93.08741257850332,91.18265687474748,92.35776934338752,238201100
2011-08-18,87.94915008544922,91.9429960684468,87.08893449015063,89.47756347751407,512956300
2011-08-19,86.51287078857422,89.00134307250882,86.40534460628761,86.75864575662038,428281300
2011-08-22,86.58203125,88.50215075394117,86.33625618788513,88.45606390122357,275090600
2011-08-23,89.4314956665039,89.53133977988374,86.46683042587006,86.90461747644343,331136600
2011-08-24,90.69109344482422,90.81397805634806,89.032107241201,89.239483446524,246869700
2011-08-25,89.3086166381836,91.7049284040054,88.99372001887416,91.1903376726089,312365400
2011-08-26,90.60661315917967,91.0213597350253,87.44225365073201,88.85546485654748,314495900
2011-08-29,93.21028900146484,93.26405211741545,90.67572871295884,91.82780050596337,190977200
2011-08-30,93.45606231689452,94.03209820251156,91.5973879323079,92.80322281847658,241315700
2011-08-31,93.87079620361328,94.86157849648262,93.16419368551304,94.05512602143524,301828400
2011-09-01,92.88771057128906,94.77710761404866,92.764820100342,93.92457401600906,254585900
2011-09-02,90.51441192626952,92.83391904783008,90.19183332835344,90.95219884050948,255517200
2011-09-06,89.85395050048828,89.98452313804498,87.84934438089623,87.8570265030448,285130500
2011-09-07,92.3884735107422,92.42687238612262,90.90614097509216,91.21336127683506,209803200
2011-09-08,91.42837524414062,92.88766666833816,91.22099913736793,91.83543948221028,250568200
2011-09-09,89.0321044921875,91.44377424874791,88.5405543417892,90.38387033565284,380195100
2011-09-12,89.60813903808594,89.67726638994198,87.59585747106236,87.91843615375073,305793500
2011-09-13,90.4299774169922,90.76792044027836,89.26254693796807,89.90002823744271,272514700
2011-09-14,91.68187713623048,92.78018583412192,89.64654909135942,90.89078290117668,319389500
2011-09-15,93.26404571533205,93.29476833087202,91.70490960005078,92.66496936165152,326777200
2011-09-16,93.8160629272461,94.1634761838241,92.88963935648628,93.63850125637822,284528300
2011-09-19,92.88191986083984,93.36057538897651,91.65440830376362,92.27974393547734,241517000
2011-09-20,92.7738037109375,94.17888232468772,92.65028335843864,93.27561876371732,218932200
2011-09-21,90.04088592529297,93.10581292053156,89.894205812135,92.82016867013166,316251300
2011-09-22,87.1303482055664,88.17257606743978,85.92599653318445,87.4314361236619,513911300
2011-09-23,87.65531158447266,88.1339669790178,86.4818357430252,86.5513207327434,307242500
2011-09-26,89.73976135253906,89.8632875975245,87.22297595654389,88.48136865454148,260673700
2011-09-27,90.743408203125,92.3028890481392,90.20298961679032,91.50770784216296,311753900
2011-09-28,88.89056396484375,91.47683507153582,88.75932171027848,90.92870045830104,286696800
2011-09-29,89.59310913085938,90.81289878370696,87.95642121670625,90.3651307316766,298108900
