Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2011-08-15,92.6419448852539,92.73410688807145,91.39770510954999,91.54363609366548,258810600
2011-08-16,91.850830078125,92.69568731362023,90.86772986926452,91.75866809588149,294095200
2011-08-17,91.91230773925781,93.0874203054408,91.18266444357629,92.35777700975927,238201100
2011-08-18,87.94916534423828,91.94301202015052,87.08894959969611,89.47757900147612,512956300
2011-08-19,86.51290893554688,89.00138231674808,86.40538270584769,86.75868401196502,428281300
2011-08-22,86.58203887939453,88.50215855253188,86.33626379562257,88.45607169575324,275090600
2011-08-23,89.43148803710938,89.5313321419715,86.4668230493909,86.9046100626167,331136600
2011-08-24,90.69107818603516,90.81396277688364,89.03209226153659,89.23946843196852,246869700
2011-08-25,89.30860137939453,91.70491273579543,88.99370481388664,91.19032209231914,312365400
2011-08-26,90.60662841796875,91.02137506366059,87.44226837662073,88.85547982043089,314495900
2011-08-29,93.21031188964844,93.2640750188008,90.67575097877035,91.827823054671,190977200
2011-08-30,93.45604705810547,94.03208284967177,91.59737297698894,92.80320766627815,241315700
2011-08-31,93.87081909179688,94.86160162624515,93.16421640140824,94.05514895456332,301828400
2011-09-01,92.8877182006836,94.77711539863009,92.76482771964285,93.92458173056707,254585900
2011-09-02,90.5144271850586,92.8339346976383,90.19184853276266,90.95221417310002,255517200
2011-09-06,89.85392761230469,89.98450021660106,87.84932200333895,87.8570041235307,285130500
2011-09-07,92.38848876953125,92.42688765125361,90.90615598906065,91.21337634154374,209803200
2011-09-08,91.42842102050781,92.88771317534352,91.22104480990603,91.83548546238643,250568200
2011-09-09,89.0321044921875,91.44377424874793,88.5405543417892,90.38387033565284,380195100
2011-09-12,89.6081314086914,89.67725875466182,87.59585001299702,87.91842866822047,305793500
2011-09-13,90.42996978759766,90.76791278237225,89.2625394070673,89.90002065275893,272514700
2011-09-14,91.68187713623047,92.78018583412192,89.64654909135942,90.89078290117669,319389500
2011-09-15,93.2640609741211,93.29478359468757,91.70492460375196,92.66498452242662,326777200
2011-09-16,93.81603240966797,94.16344555323535,92.88960914026595,93.6384707965594,284528300
2011-09-19,92.88191223144531,93.36056772026485,91.65440077519786,92.27973635554602,241517000
2011-09-20,92.77383422851562,94.17891330446093,92.65031383538523,93.27564944636553,218932200
2011-09-21,90.04085540771484,93.10578136415702,89.8941753442712,92.8201372105706,316251300
2011-09-22,87.13034057617188,88.17256834678464,85.92598900924655,87.4314284679032,513911300
2011-09-23,87.65532684326172,88.13398232112984,86.4818507975389,86.55133579935284,307242500
2011-09-26,89.73975372314453,89.86327995762815,87.22296854111859,88.48136113213155,260673700
2011-09-27,90.743408203125,92.3028890481392,90.20298961679033,91.50770784216297,311753900
2011-09-28,88.89054870605469,91.47681936879226,88.75930647401823,90.92868484964926,286696800
2011-09-29,89.59307861328125,90.81286785063898,87.95639125662358,90.36509995112924,298108900
2011-09-30,87.35423278808594,89.12987868138893,87.29246965526065,88.35785719124245,288392300
2011-10-03,84.8683090209961,87.97183232146008,84.77566433663314,86.84468183362766,365136800
2011-10-04,86.7288818359375,86.91417121403214,82.9382597991036,83.64851807829874,459177500
2011-10-05,88.33468627929688,88.56629505297234,86.14214835274052,86.94505130741146,284108000
2011-10-06,89.93279266357422,90.06404080928698,87.6321716418748,88.28838881020958,257800800
2011-10-07,89.33060455322266,90.51951833669044,88.82878941428302,90.45775520480879,312657900
2011-10-10,92.31832885742188,92.35692639691364,90.84376502151714,90.85148688543805,230666300
2011-10-11,92.41093444824219,92.67342471669656,91.67751667089672,91.77016133447843,209088000
2011-10-12,93.22159576416016,94.29470517380186,92.89734814902883,93.10579136159708,281544900
2011-10-13,93.03631591796875,93.31424413904261,91.96320646606678,92.67346485767472,212538800
2011-10-14,94.6266860961914,94.64984580149337,93.59217999232155,94.11715490937623,211397600
2011-10-17,92.82012939453125,94.61121868885289,92.58852063377753,94.1788827281163,202311600
2011-10-18,94.63438415527344,95.34464242613,92.02494806660678,92.75065006381786,318857900
2011-10-19,93.51496887207031,95.02041443892347,93.19072123246146,94.47999581618501,226601300
2011-10-20,93.92413330078125,94.26381873667698,92.50361075684611,93.74656577401825,262075600
2011-10-21,95.70751190185547,95.82331631164809,94.74248497034537,95.02812917243591,278999400
2011-10-24,96.88096618652344,97.12029683156611,95.77697532214513,95.86189814940931,203215600
2011-10-25,94.99722290039062,96.46405865185166,94.78877385188275,96.41773925887438,268596800
2011-10-26,95.96228790283203,96.32513310970512,94.34875968479034,96.0008854490658,289053800
2011-10-27,99.30511474609375,99.91500645836985,97.74562824644629,98.53308746929729,393220200
2011-10-28,99.28195190429688,99.47495724487278,98.6643324584317,98.81873437487022,225906500
2011-10-31,96.8886947631836,99.2973979868633,96.74973066258235,98.17025323429023,228146700
2011-11-01,94.18663024902344,95.35238445296093,93.81605730887759,94.20978995339685,416565800
2011-11-02,95.72293853759766,96.03947016131303,94.79651514780052,95.59941816765095,244717600
2011-11-03,97.46768951416016,97.66069483993077,95.42183188298063,96.7111060455151,291174800
2011-11-04,96.87325286865234,97.04309263778033,95.73838040960939,96.68024750868058,249401600
2011-11-07,97.47543334960938,97.57579402121385,95.88506510151649,96.80377254410001,196617200
2011-11-08,98.72608184814453,98.83417024913159,97.05079703864402,97.98494210601604,224426300
2011-11-09,95.08213806152344,97.12027364925495,94.85052933516798,96.41773149868344,337982000
2011-11-10,95.97770690917969,96.45636233099766,94.97407666312971,96.34055793490631,231866500
2011-11-11,97.78421783447266,98.03898037960356,97.1125572026341,97.14343876054039,189924400
2011-11-14,96.8578109741211,98.39413201935015,96.4409186818871,97.42138922752711,159258300
2011-11-15,97.33647155761719,97.85372454594271,96.28652185262581,96.63392916954736,184709400
2011-11-16,95.79241943359375,97.53718360607672,95.6534553420631,96.35599177309425,235782500
2011-11-17,94.27154541015625,95.85419183402632,93.59216861364699,95.61486116486945,331219600
2011-11-18,94.17117309570312,94.7656269829123,93.77744053193527,94.5726216326416,215580400
2011-11-21,92.38008880615234,92.91277959721582,91.60034549858199,92.79697520261726,229611600
2011-11-22,92.01725769042969,92.71979429353745,91.4999987346693,92.1793815219161,216494900
2011-11-23,89.98682403564453,92.01724434758358,89.98682403564453,91.15257814831182,224329100
2011-11-25,89.81696319580078,90.86691272830244,89.7088806754011,89.8478447573515,99557000
2011-11-28,92.41868591308594,92.78153693244212,91.73158730241168,92.28744368184617,210686000
2011-11-29,92.68118286132812,93.4146009257973,92.34149151859803,92.68118286132812,199241500
2011-11-30,96.49494171142578,96.6725092040257,92.64255703077804,95.33690974854106,324439500
2011-12-01,96.47952270507812,96.99677566916316,96.06263041027552,96.38687800954766,176954800
2011-12-02,96.39462280273438,97.66073782587308,96.33285965768914,97.3673717219948,221109700
2011-12-05,97.44454956054688,98.18568945486048,96.84237376454558,97.92319909580108,225263900
2011-12-06,97.47543334960938,98.13165042714485,97.08942261105246,97.43682991973111,178842100
2011-12-07,97.83828735351562,98.24745780638631,96.4795278633708,97.15118279919378,237802500
2011-12-08,95.69206237792969,97.41367291111742,95.46045946242604,97.19750783395806,240862800
2011-12-09,97.31331634521484,97.56036299954944,96.03947964096653,96.12440248058688,209111400
2011-12-12,95.89279174804688,96.47952974913208,95.08217269068251,96.46408602038797,215826100
2011-12-13,94.99722290039062,96.94271397615209,94.5340054103976,96.39457956238574,245159800
2011-12-14,93.98587036132812,94.98177853399312,93.7774272042843,94.61892758464366,238618800
2011-12-15,94.32557678222656,95.11303603441891,94.17889082846236,94.98179380739617,199109200
2011-12-16,94.46540832519531,95.52201673747257,94.24010743687245,94.96264104339423,220481400
2011-12-19,93.45545959472656,95.03260206252942,93.25345927090835,94.83060173871121,183903000
2011-12-20,96.28340911865234,96.44656112151714,93.51758405166757,94.92380316736757,225418100
2011-12-21,96.46985626220703,96.61747250189634,95.36663470087329,96.283397699249,194230900
2011-12-22,97.32447814941406,97.42548124445408,96.51648895356401,96.82725129316249,119465400
2011-12-23,98.19464874267578,98.22572616864747,97.43327255231478,97.63526693001133,92187200
2011-12-27,98.27233123779297,98.52871553535151,97.93825634542007,98.02371777793958,86075700
2011-12-28,96.98262023925781,98.30337771759547,96.90492966889863,98.28784197448786,119107100
2011-12-29,97.98487091064453,98.08586808648897,97.00595286452179,97.30117948212165,123507200
2011-12-30,97.50318145751953,98.14802463794501,97.50318145751953,97.90717609533789,95599000
2012-01-03,99.05701446533203,99.74070588812671,99.00263045919266,99.25901474274066,193697900
2012-01-04,99.21237182617188,99.29783323350243,98.44322508760752,98.8239130391823,127186500
2012-01-05,99.47652435302734,99.6241405938955,98.22569246942616,98.6763061002999,173895000
2012-01-06,99.22016143798828,99.61639113537505,98.8938574177459,99.60084946160438,148050000
2012-01-09,99.46100616455078,99.58530398549938,98.98708589864115,99.44546449137351,99530200
2012-01-10,100.32339477539062,100.72738347766638,100.18354341319956,100.5253891265285,115282000
2012-01-11,100.3777847290039,100.50985934208268,99.84948627668884,100.01263238791672,111540700
2012-01-12,100.61860656738281,100.76622282643291,99.86499545368103,100.66523158720646,118983700
2012-01-13,100.09805297851562,100.26121087798803,99.22790912751846,99.94267184152626,179836200
2012-01-17,100.48651123046875,101.24789895098776,100.14466561796156,101.06143447466908,132209200
2012-01-18,101.59752655029297,101.65190462243088,100.28453379735942,100.46322154127367,163395200
2012-01-19,102.13358306884766,102.21904447080406,101.62081465710924,101.94711859508261,126328900
2012-01-20,102.51431274414062,102.51431274414062,101.71408826949862,101.96270768347438,138230200
2012-01-23,102.25016784667969,102.74739484090385,101.76070576391194,102.17247131280884,129295800
2012-01-24,102.13358306884766,102.16465455373152,101.46543352304869,101.62081465710924,103083300
2012-01-25,102.98822021484375,103.22906283266595,101.58200091350145,101.9782247181614,198613200
2012-01-26,102.45993041992188,103.64083702299831,102.0559298163296,103.44660755942085,184880500
2012-01-27,102.41329956054688,102.59198731683087,101.89275425580131,101.96268586028079,135259100
2012-01-30,102.06370544433594,102.11809539016515,101.04594484509224,101.39555554527739,147311800
2012-01-31,102.02483367919922,102.69297149191719,101.52759499189186,102.56867367491316,157212000
2012-02-01,102.91828155517578,103.4388149556253,102.6541324005875,102.77843021433215,166234500
2012-02-02,103.08145904541016,103.3456201353474,102.71631854677184,103.12030731053264,113090400
2012-02-03,104.5264892578125,104.58864408873002,103.92827123802238,104.10695896764658,160598500
2012-02-06,104.4565658569336,104.50317901478228,103.9748807527353,104.091413647357,107694500
2012-02-07,104.72071838378906,104.8994179677657,103.82726788319314,104.23903326397092,135528100
2012-02-08,105.03153228759766,105.05483887609833,104.34784074537414,104.77514795926383,139361400
